Protein.ID,Gene.name,LFQ.Control_04dpi_1,LFQ.Control_04dpi_2,LFQ.Control_04dpi_3,LFQ.Control_04dpi_4,LFQ.Control_04dpi_5,LFQ.Control_07dpi_1,LFQ.Control_07dpi_2,LFQ.Control_07dpi_3,LFQ.Control_07dpi_4,LFQ.Control_07dpi_5,LFQ.Control_12dpi_1,LFQ.Control_12dpi_2,LFQ.Control_12dpi_3,LFQ.Control_12dpi_4,LFQ.Control_12dpi_5,LFQ.F13_Mut_04dpi_1,LFQ.F13_Mut_04dpi_2,LFQ.F13_Mut_04dpi_3,LFQ.F13_Mut_04dpi_4,LFQ.F13_Mut_04dpi_5,LFQ.F13_Mut_07dpi_2,LFQ.F13_Mut_07dpi_3,LFQ.F13_Mut_07dpi_4,LFQ.F13_Mut_07dpi_5,LFQ.F13_Mut_12dpi_1,LFQ.F13_Mut_12dpi_2,LFQ.F13_Mut_12dpi_3,LFQ.F13_Mut_12dpi_4,LFQ.F13_Mut_12dpi_5,LFQ.F13_WT_04dpi_1,LFQ.F13_WT_04dpi_2,LFQ.F13_WT_04dpi_3,LFQ.F13_WT_04dpi_4,LFQ.F13_WT_07dpi_1,LFQ.F13_WT_07dpi_2,LFQ.F13_WT_07dpi_3,LFQ.F13_WT_07dpi_4,LFQ.F13_WT_07dpi_5,LFQ.F13_WT_12dpi_1,LFQ.F13_WT_12dpi_2,LFQ.F13_WT_12dpi_3,LFQ.F13_WT_12dpi_4,LFQ.F13_WT_12dpi_5,LFQ.GHu_Mut_04dpi_1,LFQ.GHu_Mut_04dpi_2,LFQ.GHu_Mut_04dpi_3,LFQ.GHu_Mut_04dpi_4,LFQ.GHu_Mut_04dpi_5,LFQ.GHu_Mut_07dpi_1,LFQ.GHu_Mut_07dpi_2,LFQ.GHu_Mut_07dpi_3,LFQ.GHu_Mut_07dpi_4,LFQ.GHu_Mut_07dpi_5,LFQ.GHu_Mut_12dpi_1,LFQ.GHu_Mut_12dpi_2,LFQ.GHu_Mut_12dpi_3,LFQ.GHu_Mut_12dpi_4,LFQ.GHu_Mut_12dpi_5,LFQ.GHu_WT_04dpi_1,LFQ.GHu_WT_04dpi_2,LFQ.GHu_WT_04dpi_3,LFQ.GHu_WT_04dpi_4,LFQ.GHu_WT_04dpi_5,LFQ.GHu_WT_07dpi_1,LFQ.GHu_WT_07dpi_2,LFQ.GHu_WT_07dpi_3,LFQ.GHu_WT_07dpi_4,LFQ.GHu_WT_07dpi_5,LFQ.GHu_WT_12dpi_1,LFQ.GHu_WT_12dpi_2,LFQ.GHu_WT_12dpi_3,LFQ.GHu_WT_12dpi_4,LFQ.GHu_WT_12dpi_5
"sp|P17742|PPIA_MOUSE **** Peptidyl-prolyl cis-trans isomerase A IPR002130 (Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain), IPR024936 (Cyclophilin-type peptidyl-prolyl cis-trans isomerase), IPR029000 (Cyclophilin-like domain) GO:0000413 (protein peptidyl-prolyl isomerization), GO:0003755 (peptidyl-prolyl cis-trans isomerase activity), GO:0006457 (protein folding)",Niben101Scf01852g02002.1 (+1),1,6,0,1,1,6,5,4,2,2,0,2,3,4,2,2,0,2,1,3,2,2,2,0,3,5,5,4,1,1,6,12,4,1,1,2,0,1,2,2,0,0,1,1,4,2,1,1,3,4,1,0,4,1,1,0,3,1,0,1,0,2,3,0,2,1,2,1,1,2,1,2,6
"Cluster of sp|P16866|H2A4_VOLCA ***- Histone H2A-IV IPR009072 (Histone-fold) GO:0000786 (nucleosome), GO:0003677 (DNA binding), GO:0005634 (nucleus), GO:0046982 (protein heterodimerization activity) (Niben101Scf01866g00004.1)",Niben101Scf01866g00004.1 [4],6,6,7,6,6,8,12,9,6,7,6,8,16,10,10,9,5,6,7,12,7,7,8,4,8,14,14,10,5,12,9,9,6,4,7,6,5,8,7,6,6,4,11,8,12,6,5,7,5,6,8,8,14,12,5,13,7,6,6,14,7,7,7,8,6,6,8,6,6,8,8,6,5
"    sp|P50567|H2A_CHLRE ***- Histone H2A IPR009072 (Histone-fold) GO:0000786 (nucleosome), GO:0003677 (DNA binding), GO:0005634 (nucleus), GO:0046982 (protein heterodimerization activity)",Niben101Scf01579g01020.1,,,7,,,,11,9,,,,,13,10,10,,,,,10,,7,,,,10,10,,,9,,,,,,,,,,,,,11,8,12,,,,,,,8,12,8,,8,,,,10,7,,,8,,,,,,,,,
"    sp|P16866|H2A4_VOLCA ***- Histone H2A-IV IPR009072 (Histone-fold) GO:0000786 (nucleosome), GO:0003677 (DNA binding), GO:0005634 (nucleus), GO:0046982 (protein heterodimerization activity)",Niben101Scf01866g00004.1,,,7,,6,,11,9,6,,,,13,10,10,,,6,,10,,7,8,,,10,10,,,9,,9,6,,,,,,,,,,11,8,12,,,,,,,8,12,8,,8,7,,,10,7,,,8,,,,,6,,,,
"    sp|P02274|H2A1_TETPY ***- Histone H2A.1 IPR009072 (Histone-fold) GO:0000786 (nucleosome), GO:0003677 (DNA binding), GO:0005634 (nucleus), GO:0046982 (protein heterodimerization activity)",Niben101Scf00223g03023.1 (+1),6,6,5,6,5,8,10,7,5,7,6,8,12,8,9,9,5,5,7,9,7,5,7,4,8,13,13,10,5,10,9,7,5,4,7,6,5,8,7,6,6,4,10,6,11,6,5,7,5,6,8,6,10,9,5,9,6,6,6,11,6,7,7,6,6,6,8,6,5,8,8,6,5
"Cluster of sp|P16019|HSP70_THEAN ***- Heat shock 70 kDa protein IPR013126 (Heat shock protein 70 family), IPR029047 (Heat shock protein 70kD, peptide-binding domain), IPR029048 (Heat shock protein 70kD, C-terminal domain) (Niben101Scf00698g00009.1)",Niben101Scf00698g00009.1 [2],1,1,1,0,2,2,0,2,,2,1,2,2,2,3,2,1,0,0,1,1,2,0,2,0,0,0,1,0,1,1,,1,,,3,2,1,0,1,2,1,2,0,2,0,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,0,0,1,1,1,3,2,1,,0,0,3
"    sp|Q04967|HSP76_PIG *-*- Heat shock 70 kDa protein 6 IPR013126 (Heat shock protein 70 family), IPR029047 (Heat shock protein 70kD, peptide-binding domain), IPR029048 (Heat shock protein 70kD, C-terminal domain)",Niben101Scf04894g00026.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|P16019|HSP70_THEAN ***- Heat shock 70 kDa protein IPR013126 (Heat shock protein 70 family), IPR029047 (Heat shock protein 70kD, peptide-binding domain), IPR029048 (Heat shock protein 70kD, C-terminal domain)",Niben101Scf00698g00009.1,1,1,1,0,2,2,0,2,,2,1,2,2,2,3,2,1,0,0,1,1,2,0,2,0,0,0,1,0,1,1,,1,,,3,2,1,0,1,2,1,2,0,2,0,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,0,0,1,1,1,3,2,1,,0,0,3
"Cluster of sp|P15904|POR_AVESA **** Protochlorophyllide reductase IPR002347 (Glucose/ribitol dehydrogenase) GO:0008152 (metabolic process), GO:0016491 (oxidoreductase activity) (Niben101Scf00506g02003.1)",Niben101Scf00506g02003.1 [6],31,38,49,31,24,41,37,29,32,31,51,54,47,55,18,20,20,39,38,23,26,34,41,17,55,63,63,39,32,28,35,31,34,28,26,29,33,33,47,17,15,21,32,37,42,30,36,37,41,29,46,31,29,43,31,29,20,19,31,39,31,32,34,37,43,40,17,37,38,35,27,26,15
"    sp|Q41249|PORA_CUCSA **** Protochlorophyllide reductase, chloroplastic IPR002347 (Glucose/ribitol dehydrogenase) GO:0008152 (metabolic process), GO:0016491 (oxidoreductase activity)",Niben101Scf06120g00013.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|Q9SDT1|POR_DAUCA **** Protochlorophyllide reductase, chloroplastic IPR002347 (Glucose/ribitol dehydrogenase) GO:0008152 (metabolic process), GO:0016491 (oxidoreductase activity), GO:0016630 (protochlorophyllide reductase activity), GO:0055114 (oxidation-reduction process)",Niben101Scf06117g01005.1,14,22,29,17,7,21,17,15,16,17,28,27,26,32,10,6,7,27,21,11,10,13,18,8,29,32,32,20,16,15,21,18,16,13,14,12,16,16,26,5,6,4,11,21,20,16,17,23,24,16,23,16,16,26,17,15,6,7,19,22,17,12,19,18,23,20,7,17,18,15,13,16,5
"    sp|Q9SDT1|POR_DAUCA **** Protochlorophyllide reductase, chloroplastic IPR002198 (Short-chain dehydrogenase/reductase SDR), IPR005979 (Light-dependent protochlorophyllide reductase) GO:0008152 (metabolic process), GO:0016491 (oxidoreductase activity), GO:0016630 (protochlorophyllide reductase activity), GO:0055114 (oxidation-reduction process)",Niben101Scf10763g00002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P15904|POR_AVESA ***- Protochlorophyllide reductase IPR016040 (NAD(P)-binding domain),Niben101Scf00479g01015.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|P15904|POR_AVESA **** Protochlorophyllide reductase IPR002347 (Glucose/ribitol dehydrogenase) GO:0008152 (metabolic process), GO:0016491 (oxidoreductase activity), GO:0016630 (protochlorophyllide reductase activity), GO:0055114 (oxidation-reduction process)",Niben101Scf01036g03001.1,11,15,19,12,10,16,13,12,12,12,16,19,19,22,6,7,7,11,13,8,11,14,16,8,22,25,25,12,10,8,13,13,12,11,7,13,9,12,18,7,5,10,15,13,14,13,13,14,13,9,17,9,8,18,10,9,6,8,10,14,11,14,10,14,15,13,7,14,13,16,7,10,4
"    sp|P15904|POR_AVESA **** Protochlorophyllide reductase IPR002347 (Glucose/ribitol dehydrogenase) GO:0008152 (metabolic process), GO:0016491 (oxidoreductase activity)",Niben101Scf00506g02003.1,19,19,24,15,16,19,19,12,16,13,25,29,22,22,10,15,14,15,19,13,16,21,22,10,24,30,30,19,17,15,18,15,16,16,14,18,18,17,21,11,10,17,22,14,19,13,16,16,17,14,23,16,14,18,14,15,14,12,14,18,16,20,16,19,20,22,10,19,21,19,13,9,11
"Cluster of sp|P15115|G3P_BACCO *-*- Glyceraldehyde-3-phosphate dehydrogenase IPR020831 (Glyceraldehyde/Erythrose phosphate dehydrogenase family) GO:0016620 (oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor), GO:0055114 (oxidation-reduction process) (Niben101Scf02307g00010.1)",Niben101Scf02307g00010.1 [2],35,27,31,29,15,22,25,13,20,26,23,47,22,32,18,17,22,21,36,19,20,32,26,9,27,29,29,24,26,17,28,20,29,27,17,24,20,19,26,13,15,15,25,26,26,17,25,13,25,20,24,20,26,15,18,42,16,19,24,22,17,22,25,27,27,32,16,20,18,20,16,13,17
"    sp|Q8CNY0|G3P2_STAES *-*- Glyceraldehyde-3-phosphate dehydrogenase 2 IPR020831 (Glyceraldehyde/Erythrose phosphate dehydrogenase family) GO:0016620 (oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor), GO:0055114 (oxidation-reduction process)",Niben101Scf00712g09029.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    sp|P15115|G3P_BACCO *-*- Glyceraldehyde-3-phosphate dehydrogenase IPR020831 (Glyceraldehyde/Erythrose phosphate dehydrogenase family) GO:0016620 (oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor), GO:0055114 (oxidation-reduction process)",Niben101Scf02307g00010.1,31,24,26,28,14,20,23,13,18,23,21,42,20,31,18,15,20,19,32,18,18,29,25,8,25,26,26,21,25,17,26,18,25,23,15,20,18,17,23,12,13,13,23,25,23,16,23,12,24,19,22,19,22,15,17,37,15,17,22,18,15,21,22,25,24,28,15,17,18,17,15,12,15
"Cluster of sp|P13869|CB12_PETHY ***- Chlorophyll a-b binding protein, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane) (Niben101Scf02513g08007.1)",Niben101Scf02513g08007.1 [2],35,31,28,34,40,31,38,27,29,32,31,41,33,38,27,37,29,27,36,25,20,27,29,24,35,35,35,36,39,27,34,25,25,27,31,31,30,24,31,28,22,31,34,36,38,28,34,22,27,35,32,33,34,23,23,35,27,21,30,38,26,34,30,35,31,33,23,34,30,29,25,29,22
"    sp|Q32904|CB23_PEA --*- Chlorophyll a-b binding protein 3, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane)",Niben101Scf02128g00025.1,22,20,20,20,25,19,27,20,20,22,22,24,19,24,20,24,17,16,22,17,11,19,19,16,25,23,23,27,28,18,22,16,16,18,22,22,19,16,21,17,16,21,25,22,25,16,22,15,18,20,23,23,24,14,15,23,19,14,21,24,18,25,22,22,22,22,15,24,21,21,15,19,16
"    sp|P13869|CB12_PETHY ***- Chlorophyll a-b binding protein, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane)",Niben101Scf02513g08007.1,35,31,28,34,39,31,38,27,29,32,31,41,33,38,27,37,28,27,36,25,20,27,29,23,35,35,35,36,38,27,34,25,25,27,31,31,30,24,31,28,22,31,34,36,38,27,34,21,27,35,32,32,34,23,22,35,27,21,30,37,26,34,30,34,31,33,23,34,29,29,25,29,22
"Cluster of sp|P12360|CB11_SOLLC ***- Chlorophyll a-b binding protein 6A, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane) (Niben101Scf01276g00005.1)",Niben101Scf01276g00005.1 [3],14,13,21,11,14,7,15,7,10,14,14,26,11,18,12,7,15,9,18,9,5,13,12,7,16,15,15,20,20,12,19,11,3,16,15,8,18,11,10,11,12,15,18,14,19,6,14,7,11,14,16,11,22,5,11,22,9,12,21,22,10,16,11,14,16,22,9,20,12,11,10,9,10
"    sp|P12360|CB11_SOLLC ***- Chlorophyll a-b binding protein 6A, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane)",Niben101Scf01276g00005.1,13,13,13,10,12,6,10,7,8,10,10,22,9,16,10,7,12,6,15,9,5,12,9,6,11,12,12,17,15,12,15,7,3,10,11,8,14,10,9,9,12,13,15,10,15,6,11,5,11,12,13,10,19,3,9,16,9,11,16,17,8,16,8,12,13,15,9,16,11,10,9,8,8
"    sp|P12360|CB11_SOLLC ***- Chlorophyll a-b binding protein 6A, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane)",Niben101Scf06465g04003.1,5,5,12,6,6,2,8,3,4,8,7,11,6,8,6,2,9,7,9,1,2,6,6,4,8,7,7,8,9,4,8,6,2,9,9,3,9,6,5,7,6,6,7,8,9,1,7,4,5,7,7,4,9,2,7,12,4,6,10,11,7,5,5,7,8,14,3,11,4,7,6,4,5
"    sp|P12360|CB11_SOLLC ***- Chlorophyll a-b binding protein 6A, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane)",Niben101Scf01105g00001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of sp|P12301|PSBQ_SPIOL **** Oxygen-evolving enhancer protein 3, chloroplastic IPR008797 (Photosystem II PsbQ, oxygen evolving complex), IPR023222 (PsbQ-like domain) GO:0005509 (calcium ion binding), GO:0009523 (photosystem II), GO:0009654 (photosystem II oxygen evolving complex), GO:0015979 (photosynthesis), GO:0019898 (extrinsic component of membrane) (Niben101Scf00176g05004.1)",Niben101Scf00176g05004.1 [2],38,40,34,34,42,30,32,31,23,33,28,41,35,34,34,39,41,24,35,29,39,39,27,31,34,30,30,27,32,39,41,29,16,34,37,32,30,27,29,32,35,29,38,31,25,31,40,24,40,30,30,34,31,21,27,34,40,32,36,33,32,38,26,38,31,35,29,34,29,30,25,25,28
"    sp|P12301|PSBQ_SPIOL **** Oxygen-evolving enhancer protein 3, chloroplastic IPR008797 (Photosystem II PsbQ, oxygen evolving complex), IPR023222 (PsbQ-like domain) GO:0005509 (calcium ion binding), GO:0009523 (photosystem II), GO:0009654 (photosystem II oxygen evolving complex), GO:0015979 (photosynthesis), GO:0019898 (extrinsic component of membrane)",Niben101Scf00176g05004.1,38,40,34,34,42,30,32,31,23,33,28,41,35,34,34,39,41,24,35,29,39,39,27,31,34,30,30,27,32,39,41,29,16,34,37,32,30,27,29,32,35,29,38,31,25,31,40,24,40,30,30,34,31,21,27,34,40,32,36,33,32,38,26,38,31,35,29,34,29,30,25,25,28
"    sp|P12301|PSBQ_SPIOL **** Oxygen-evolving enhancer protein 3, chloroplastic IPR008797 (Photosystem II PsbQ, oxygen evolving complex), IPR023222 (PsbQ-like domain) GO:0005509 (calcium ion binding), GO:0009523 (photosystem II), GO:0009654 (photosystem II oxygen evolving complex), GO:0015979 (photosynthesis), GO:0019898 (extrinsic component of membrane)",Niben101Scf06113g00021.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sp|P11891|PSRP5_PEA -**- 50S ribosomal protein 5, chloroplastic",Niben101Scf06128g00002.1,3,3,3,3,3,3,3,3,3,2,2,3,3,4,3,4,3,1,4,4,3,4,4,3,3,4,4,4,4,3,3,4,3,2,2,3,3,3,3,4,4,4,4,3,3,4,4,2,3,4,4,4,4,2,2,2,4,3,3,4,3,3,4,3,4,2,3,3,3,2,3,2,4
sp|P11435|CPPM_STRHY *-*- Carboxyvinyl-carboxyphosphonate phosphorylmutase IPR015813 (Pyruvate/Phosphoenolpyruvate kinase-like domain) GO:0003824 (catalytic activity),Niben101Scf04375g06003.1,,,1,1,,,,,,,,,,,,,1,0,,0,,,0,,,,,,0,,1,2,0,1,,,0,,,,0,,,,,,,,,0,,,,0,,0,1,0,,0,,,,,,0,,,,,,,
Cluster of sp|P10987|ACT1_DROME ***- Actin-5C IPR004000 (Actin family) (Niben101Scf03410g03002.1),Niben101Scf03410g03002.1 [23],42,41,43,48,44,37,54,43,40,40,33,43,37,49,34,31,33,41,47,28,45,35,47,32,39,50,50,46,52,36,44,44,50,38,34,37,34,38,41,34,30,47,49,46,47,35,46,36,42,51,44,38,46,32,27,39,28,35,35,33,42,45,38,51,34,34,35,38,39,38,44,36,38
    sp|P68556|ACT1_DIPDE ***- Actin-1/4 IPR004000 (Actin family),Niben101Scf01400g02009.1,13,14,14,14,17,17,19,17,16,11,11,14,15,18,13,8,14,20,15,11,15,16,16,13,11,23,23,14,20,15,16,17,16,14,13,12,15,12,14,11,9,19,19,17,14,15,18,13,10,19,14,10,13,13,11,13,10,11,16,14,14,17,11,18,13,12,13,9,14,14,12,15,9
    sp|P53494|ACT4_ARATH *-*- Actin-4 IPR004000 (Actin family),Niben101Scf16986g00011.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P53471|ACT2_SCHMA *-*- Actin-2 IPR004000 (Actin family),Niben101Scf02008g00020.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P53471|ACT2_SCHMA ***- Actin-2 IPR004000 (Actin family),Niben101Scf01982g01005.1,21,22,25,24,26,22,31,27,23,19,18,26,23,30,19,17,21,26,28,16,22,22,28,17,20,28,28,26,29,18,21,26,24,23,22,21,20,21,22,18,17,28,30,24,24,22,24,21,20,29,25,20,27,20,16,22,15,18,22,21,24,25,18,30,18,18,21,20,24,21,27,22,19
    sp|P53471|ACT2_SCHMA ***- Actin-2 IPR004000 (Actin family),Niben101Scf23108g00005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P53470|ACT1_SCHMA ***- Actin-1 IPR004000 (Actin family),Niben101Scf08199g01006.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P41113|ACT3_PODCA ***- Actin-3 IPR004000 (Actin family),Niben101Scf02869g17005.1,30,28,33,31,32,29,37,33,31,27,25,31,30,39,24,21,26,31,36,20,32,25,36,22,28,39,39,34,38,27,33,33,32,30,28,28,26,25,29,23,23,37,38,33,33,27,32,28,29,37,32,26,35,25,21,30,20,26,28,27,31,32,25,40,25,27,27,26,30,27,33,27,26
    sp|P41113|ACT3_PODCA ***- Actin-3 IPR004000 (Actin family),Niben101Scf03493g00020.1,30,27,32,31,32,29,37,33,31,27,24,30,30,38,24,21,26,31,36,20,32,25,36,22,28,39,39,33,38,27,33,33,32,30,28,28,26,25,29,23,23,37,38,33,33,27,32,28,28,37,32,26,34,25,21,30,20,26,28,27,31,32,24,40,25,27,27,26,30,27,33,27,26
    sp|P41112|ACT1_PODCA ***- Actin-1/2 IPR004000 (Actin family),Niben101Ctg06133g00002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P30172|ACT12_SOLTU ***- Actin-100 IPR004000 (Actin family),Niben101Scf28062g00001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P30163|ACT2_ONCVO ***- Actin-2 IPR004000 (Actin family),Niben101Scf20549g00002.1,18,21,22,22,23,22,27,22,20,16,16,21,20,26,17,12,19,24,19,14,20,20,23,17,16,29,29,19,26,18,20,21,21,19,17,17,20,18,20,15,13,24,26,20,19,18,23,18,17,24,20,15,21,19,15,17,15,16,20,19,19,23,14,25,17,17,18,15,20,19,16,19,14
    sp|P30162|ACT1_ONCVO ***- Actin-1 IPR004000 (Actin family),Niben101Scf09773g01014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P26197|ACT2_ABSGL *-*- Actin-2 IPR004000 (Actin family),Niben101Ctg05445g00003.1,8,9,11,10,11,11,10,11,13,,8,8,9,13,8,,6,13,9,7,11,8,11,9,6,14,14,10,15,,10,12,10,10,,,9,8,9,,,13,13,11,,10,12,10,5,12,7,6,7,10,6,5,8,8,11,10,8,9,8,11,,9,9,6,8,11,,11,
    sp|P10987|ACT1_DROME ***- Actin-5C IPR004000 (Actin family),Niben101Scf03410g03002.1,31,28,32,32,34,29,41,36,31,29,23,31,30,38,26,22,27,32,35,22,32,29,36,24,28,40,40,34,40,29,33,35,35,30,29,28,25,27,30,25,24,37,39,34,33,28,33,27,27,38,32,28,35,26,21,31,22,25,29,28,31,31,26,40,25,25,28,28,31,28,34,27,27
    sp|P10987|ACT1_DROME ***- Actin-5C IPR004000 (Actin family),Niben101Scf02466g04001.1,23,18,22,26,23,22,24,22,22,19,15,23,21,26,15,16,18,19,24,12,21,15,24,20,21,30,30,23,30,20,26,26,22,22,18,16,19,18,18,14,15,23,25,24,22,23,23,22,20,26,22,19,25,19,16,18,16,15,19,18,21,23,19,29,16,19,18,21,21,21,17,22,19
    sp|P10987|ACT1_DROME ***- Actin-5C IPR004000 (Actin family),Niben101Scf02119g00016.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P10984|ACT2_CAEEL ***- Actin-2 IPR004000 (Actin family),Niben101Scf00672g00001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P10984|ACT2_CAEEL ***- Actin-2 IPR004000 (Actin family),Niben101Scf01150g01014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|P07829|ACT3_DICDI ***- Actin-3 IPR004000 (Actin family),Niben101Scf04103g05008.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    sp|O65314|ACT_SCHDU ***- Actin IPR004000 (Actin family),Niben101Scf06087g02002.1,28,26,30,29,31,28,36,33,29,24,20,28,27,36,23,21,25,29,32,20,30,24,35,21,26,36,36,32,36,26,32,33,30,28,25,25,24,24,27,23,21,35,35,31,31,27,28,25,25,36,29,24,33,24,19,27,22,23,26,,30,29,25,38,23,23,26,24,28,26,30,26,24
"    sp|O17320|ACT_CRAGI ***- Actin IPR004000 (Actin family), IPR017877 (Myb-like domain)",Niben101Scf00646g07008.1,12,8,9,11,11,8,15,10,5,7,10,16,12,14,9,6,13,10,16,5,9,9,10,5,10,16,16,7,12,9,12,9,12,11,8,9,8,10,9,6,5,12,12,11,13,8,14,6,12,12,11,8,14,6,6,14,5,5,10,7,11,13,6,14,8,5,9,9,10,7,9,8,9
    sp|O17320|ACT_CRAGI ***- Actin IPR004000 (Actin family),Niben101Scf00096g04015.1 (+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of sp|P10708|CB12_SOLLC ***- Chlorophyll a-b binding protein 7, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane) (Niben101Scf05950g00001.1)",Niben101Scf05950g00001.1 [2],14,16,14,14,12,13,17,9,11,13,12,16,14,14,12,13,11,11,14,13,6,9,14,9,16,17,17,13,13,11,13,12,9,11,14,11,11,12,12,12,13,11,9,15,14,11,12,12,9,13,10,12,16,12,7,17,11,12,16,13,12,12,11,18,12,16,8,15,10,13,10,12,11
"    sp|P10708|CB12_SOLLC ***- Chlorophyll a-b binding protein 7, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane)",Niben101Scf05950g00001.1,14,16,14,14,12,13,17,9,11,13,12,16,14,14,12,13,11,11,14,13,6,9,14,9,16,17,17,13,13,11,13,12,9,11,14,11,11,12,12,12,13,11,9,15,14,11,12,12,9,13,10,12,16,12,7,17,11,12,16,13,12,12,11,18,12,16,8,15,10,13,10,12,11
"    sp|P10708|CB12_SOLLC ***- Chlorophyll a-b binding protein 7, chloroplastic IPR022796 (Chlorophyll A-B binding protein), IPR023329 (Chlorophyll a/b binding protein domain) GO:0009765 (photosynthesis, light harvesting), GO:0016020 (membrane)",Niben101Ctg06879g00004.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
